,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Brand,Model,Submodel,Mileage_Value,Engine_CC,Power_bhp
78,Hyderabad,2012,104000,Diesel,Manual,First,7.0,11.75,Toyota,Innova,2.5 VX 7 STR BSIV,12.8,2494.0,102.0
79,Hyderabad,2005,87591,Petrol,Manual,First,5.0,1.3,Hyundai,Santro,Xing XL,0.0,1086.0,-1.0
80,Jaipur,2012,95100,Diesel,Manual,First,5.0,3.75,Maruti,Swift,VDI,22.9,1248.0,74.0
81,Pune,2017,70000,Petrol,Manual,First,5.0,4.5,Tata,Zest,Revotron 1.2T XE,17.57,1193.0,88.7
82,Kochi,2016,54944,Petrol,Manual,First,5.0,4.82,Honda,Amaze,SX i-VTEC,18.0,1198.0,86.7
83,Hyderabad,2012,70337,Diesel,Manual,First,5.0,2.8,Ford,Figo,Diesel ZXI,20.0,1399.0,68.0
84,Jaipur,2013,99638,Diesel,Manual,First,5.0,3.11,Maruti,Ritz,VDi,23.2,1248.0,73.94
85,Delhi,2009,52000,Petrol,Manual,First,5.0,3.25,Honda,City,i VTEC E,17.8,1497.0,117.3
86,Delhi,2011,75000,Diesel,Automatic,Second,5.0,13.9,BMW,5,Series 2003-2012 525d,16.73,1995.0,218.0
87,Pune,2009,95980,Petrol,Manual,First,5.0,2.25,Hyundai,i10,Sportz 1.2,20.36,1197.0,78.9
88,Bangalore,2016,16000,Petrol,Manual,First,5.0,5.75,Hyundai,Grand,i10 Sportz,18.9,1197.0,82.0
89,Hyderabad,2007,73745,Petrol,Manual,First,5.0,2.1,Hyundai,Santro,Xing XO,17.0,1086.0,-1.0
90,Mumbai,2016,18949,Petrol,Manual,First,5.0,5.0,Honda,Amaze,SX i-VTEC,17.8,1198.0,86.7
91,Delhi,2014,107000,Diesel,Manual,First,7.0,16.5,Toyota,Fortuner,4x2 Manual,13.0,2982.0,168.5
92,Coimbatore,2018,48367,Diesel,Automatic,First,5.0,39.58,Audi,A6,2011-2015 35 TDI Premium,17.68,1968.0,174.33
93,Delhi,2013,57000,Diesel,Manual,First,5.0,5.5,Ford,Ecosport,1.5 DV5 MT Titanium Optional,22.7,1498.0,89.84
94,Delhi,2014,58000,Diesel,Manual,First,7.0,8.1,Mahindra,XUV500,W8 2WD,15.1,2179.0,140.0
95,Kolkata,2015,30000,Diesel,Manual,First,5.0,3.5,Honda,Amaze,SX i-DTEC,25.8,1498.0,98.6
96,Kolkata,2013,34212,Diesel,Manual,First,5.0,2.79,Volkswagen,Polo,Diesel Highline 1.2L,22.07,1199.0,73.9
97,Ahmedabad,2010,70002,Diesel,Manual,First,5.0,3.45,Hyundai,Verna,Transform SX VGT CRDi,16.2,1493.0,110.0
98,Bangalore,2016,62000,Petrol,Manual,First,5.0,4.45,Maruti,Wagon,R VXI BS IV,18.9,998.0,67.1
99,Delhi,2010,62001,Petrol,Manual,First,5.0,2.65,Volkswagen,Polo,Petrol Highline 1.6L,15.26,1598.0,103.5
100,Pune,2011,78958,Diesel,Manual,Second,5.0,3.8,Hyundai,i20,1.4 CRDi Sportz,23.0,1396.0,90.0
101,Mumbai,2014,30180,Petrol,Manual,First,5.0,4.65,Hyundai,i20,Asta 1.2,18.5,1197.0,82.85
102,Pune,2017,32851,Petrol,Manual,First,7.0,3.95,Datsun,GO,Plus T Petrol,19.83,1198.0,67.0
103,Kolkata,2010,30000,Diesel,Automatic,First,5.0,9.8,Audi,A4,3.0 TDI Quattro Premium,14.94,2967.0,241.4
104,Pune,2009,66000,Petrol,Manual,Second,5.0,2.7,Hyundai,i20,2015-2017 Asta,17.0,1197.0,80.0
105,Coimbatore,2010,93850,Petrol,Manual,First,5.0,2.41,Maruti,Omni,5 Str STD,14.0,796.0,35.0
106,Ahmedabad,2014,53000,Petrol,Manual,First,5.0,3.9,Toyota,Etios,Liva 1.2 G,17.71,1197.0,78.9
107,Hyderabad,2011,78000,Diesel,Automatic,Second,5.0,24.0,Jaguar,XF,3.0 Litre S Premium Luxury,14.74,2993.0,270.9
108,Delhi,2012,65000,Diesel,Manual,Second,7.0,5.75,Mahindra,XUV500,W8 2WD,16.0,2179.0,140.0
109,Kolkata,2014,40000,Diesel,Automatic,First,5.0,5.25,Hyundai,Verna,1.6 SX CRDI (O) AT,22.32,1582.0,126.32
110,Mumbai,2017,30000,Diesel,Automatic,First,7.0,19.25,Toyota,Innova,Crysta 2.8 ZX AT,11.36,2755.0,171.5
111,Coimbatore,2017,38053,Petrol,Manual,First,5.0,3.91,Maruti,Eeco,5 Seater AC,15.1,1196.0,73.0
112,Bangalore,2014,25500,Petrol,Manual,First,4.0,2.15,Tata,Nano,Twist XT,25.4,624.0,37.5
113,Mumbai,2015,56087,Diesel,Automatic,First,5.0,20.75,BMW,3,Series 320d Luxury Line,22.69,1995.0,190.0
114,Delhi,2010,71088,Petrol,Manual,First,5.0,3.35,Honda,Civic,2006-2010 1.8 V MT,13.5,1799.0,130.0
115,Ahmedabad,2014,55000,Diesel,Manual,First,7.0,11.11,Toyota,Innova,2.5 VX (Diesel) 7 Seater,12.99,2494.0,100.6
116,Bangalore,2014,32700,Diesel,Automatic,First,5.0,20.0,Volvo,V40,Cross Country D3,23.3,1984.0,150.0
117,Coimbatore,2016,39882,Petrol,Automatic,First,5.0,6.55,Nissan,Micra,XV CVT,19.15,1198.0,75.94
118,Mumbai,2009,128000,Petrol,Automatic,First,5.0,7.0,BMW,5,Series 2010-2013 525i,10.8,2497.0,215.0
119,Mumbai,2016,55000,Diesel,Manual,First,5.0,7.5,Maruti,Vitara,Brezza VDi,24.3,1248.0,88.5
120,Mumbai,2005,102000,Petrol,Manual,Second,5.0,0.85,Hyundai,Santro,Xing XL eRLX Euro III,17.0,1086.0,-1.0
121,Pune,2014,53753,Diesel,Automatic,Second,5.0,16.75,Mercedes-Benz,B,Class B200 CDI,15.0,2143.0,107.3
122,Kolkata,2018,10250,Diesel,Manual,First,5.0,10.95,Hyundai,Verna,CRDi 1.6 SX Option,22.0,1582.0,126.2
123,Pune,2011,43874,Petrol,Manual,First,5.0,2.45,Maruti,Wagon,R LXI BS IV,18.9,998.0,67.1
124,Coimbatore,2017,32684,Petrol,Automatic,First,4.0,3.23,Tata,Nano,XTA,21.9,624.0,37.48
125,Kolkata,2014,42000,Diesel,Manual,First,8.0,7.75,Mahindra,Scorpio,VLX,12.05,2179.0,120.0
126,Kolkata,2009,28352,Petrol,Automatic,First,5.0,9.35,Mercedes-Benz,New,C-Class 200 K AT,11.7,1796.0,178.0
127,Pune,2013,89900,CNG,Manual,First,5.0,3.25,Maruti,Wagon,R LXI CNG,26.6,998.0,58.16
128,Bangalore,2007,47700,Petrol,Manual,Second,5.0,5.25,Honda,CR-V,2.4 MT,10.8,2354.0,152.0
129,Pune,2015,55000,Diesel,Automatic,First,5.0,7.25,Volkswagen,Vento,1.5 TDI Comfortline AT,21.21,1498.0,103.2
130,Kochi,2017,44285,Petrol,Manual,First,5.0,7.47,Maruti,Ciaz,VXi Plus,20.73,1373.0,91.1
131,Jaipur,2016,54000,Diesel,Automatic,First,7.0,13.25,Mahindra,XUV500,AT W10 FWD,16.0,2179.0,140.0
132,Coimbatore,2016,30232,Petrol,Manual,First,5.0,5.81,Maruti,Ritz,VXI ABS,21.1,1197.0,85.8
133,Hyderabad,2014,88500,Petrol,Manual,First,5.0,2.6,Maruti,Alto,K10 VXI,24.07,998.0,67.1
134,Kolkata,2017,13372,Petrol,Automatic,First,2.0,54.0,Mercedes-Benz,SLC,43 AMG,19.0,2996.0,362.07
135,Kochi,2019,12645,Petrol,Automatic,First,5.0,11.5,Hyundai,Verna,VTVT 1.6 AT SX Plus,17.0,1591.0,121.3
136,Chennai,2010,94385,Petrol,Manual,Second,5.0,1.6,Maruti,Alto,LXi BSIII,19.7,796.0,46.3
137,Coimbatore,2015,31821,Diesel,Automatic,First,5.0,17.22,BMW,1,Series 118d Base,20.58,1995.0,143.0
138,Mumbai,2015,12000,Petrol,Automatic,First,5.0,6.0,Honda,Jazz,1.2 V CVT i VTEC,19.0,1199.0,88.7
139,Delhi,2012,88578,Petrol,Manual,First,5.0,3.95,Honda,Civic,2006-2010 1.8 V MT,13.5,1799.0,130.0
140,Kochi,2014,44965,Diesel,Automatic,First,5.0,17.95,Mercedes-Benz,New,C-Class C 220 CDI Avantgarde,19.27,2143.0,170.0
141,Kolkata,2014,45044,Diesel,Manual,First,5.0,3.7,Honda,Amaze,SX i-DTEC,25.8,1498.0,98.6
142,Kochi,2016,34204,Petrol,Manual,First,5.0,5.43,Maruti,Swift,VVT VXI,22.0,1197.0,81.8
143,Kochi,2008,80759,Petrol,Manual,Third,5.0,1.67,Hyundai,Santro,Xing XO eRLX Euro II,17.0,1086.0,-1.0
144,Coimbatore,2012,91235,Diesel,Manual,First,7.0,13.49,Toyota,Fortuner,3.0 Diesel,11.5,2982.0,171.0
145,Pune,2014,38800,Petrol,Manual,First,5.0,2.85,Chevrolet,Beat,LT Option,18.6,1199.0,76.8
146,Chennai,2013,83000,Diesel,Manual,First,5.0,4.75,Skoda,Rapid,1.5 TDI Elegance,21.14,1498.0,103.52
147,Kochi,2018,41283,Petrol,Manual,First,5.0,9.9,Maruti,Ciaz,1.4 Alpha,20.73,1373.0,91.1
148,Mumbai,2013,23000,Petrol,Automatic,First,4.0,37.0,Audi,RS5,Coupe,11.05,2894.0,444.0
149,Mumbai,2014,48000,Diesel,Automatic,First,5.0,26.5,BMW,3,Series Luxury Line,21.76,1995.0,190.0
150,Coimbatore,2015,48214,Diesel,Automatic,First,5.0,23.32,Audi,A4,2.0 TDI 177 Bhp Premium Plus,17.11,1968.0,174.33
151,Chennai,2016,35000,Diesel,Manual,First,5.0,6.25,Maruti,Swift,VDI,22.9,1248.0,74.0
152,Kolkata,2010,35277,Petrol,Automatic,First,5.0,30.0,Mercedes-Benz,S,Class 2005 2013 S 500,7.81,5461.0,362.9
153,Coimbatore,2016,54620,Diesel,Automatic,First,5.0,9.86,Skoda,Rapid,1.5 TDI AT Elegance Plus Black Package,21.66,1498.0,103.52
154,Pune,2012,136997,Diesel,Automatic,First,5.0,8.5,Skoda,Superb,Elegance 2.0 TDI CR AT,17.2,1968.0,138.1
155,Kochi,2019,14322,Petrol,Manual,First,5.0,4.23,Hyundai,EON,Magna Plus,21.1,814.0,55.2
156,Jaipur,2012,65634,Diesel,Manual,First,5.0,3.5,Volkswagen,Polo,Diesel Trendline 1.2L,22.07,1199.0,73.9
157,Kolkata,2016,6000,Petrol,Manual,First,5.0,2.5,Datsun,GO,NXT,20.63,1198.0,67.06
158,Kolkata,2013,33280,Petrol,Manual,First,5.0,2.39,Honda,Brio,S MT,19.4,1198.0,86.8
159,Delhi,2013,29000,Petrol,Automatic,First,5.0,11.25,Mercedes-Benz,B,Class B180,14.8,1595.0,120.7
160,Kochi,2015,42831,Diesel,Manual,First,5.0,7.11,Honda,City,i DTEC V,26.0,1498.0,98.6
161,Ahmedabad,2016,90000,Diesel,Manual,First,7.0,10.9,Toyota,Innova,2.5 G (Diesel) 7 Seater,12.99,2494.0,100.6
162,Ahmedabad,2017,24005,Petrol,Manual,First,5.0,6.2,Maruti,Swift,VXI Optional,20.4,1197.0,81.8
163,Mumbai,2012,32792,Diesel,Manual,First,7.0,7.9,Mahindra,XUV500,W8 2WD,15.1,2179.0,140.0
164,Kochi,2014,147898,Diesel,Manual,First,5.0,4.42,Ford,Ecosport,1.5 DV5 MT Ambiente,22.7,1498.0,89.84
165,Mumbai,2012,131765,Diesel,Manual,First,7.0,13.5,Toyota,Fortuner,4x2 Manual,13.0,2982.0,168.5
166,Chennai,2013,65000,Diesel,Automatic,First,5.0,6.25,Volkswagen,Vento,1.5 Highline Plus AT 16 Alloy,21.5,1498.0,108.5
167,Jaipur,2010,66123,Diesel,Manual,Second,5.0,2.1,Ford,Figo,Diesel Titanium,20.0,1399.0,68.0
168,Mumbai,2015,41000,Diesel,Automatic,First,5.0,45.0,BMW,X5,xDrive 30d,15.3,2993.0,258.0
169,Coimbatore,2017,23550,Diesel,Automatic,First,5.0,33.66,Mercedes-Benz,New,C-Class C 220 CDI Style,19.27,2143.0,167.62
170,Bangalore,2012,45000,Petrol,Manual,Second,5.0,3.65,Honda,Brio,V MT,19.4,1198.0,86.8
171,Delhi,2013,60000,Petrol,Manual,First,5.0,2.75,Hyundai,i10,Magna 1.2,20.36,1197.0,78.9
172,Bangalore,2016,44414,Diesel,Automatic,First,5.0,42.5,Mercedes-Benz,GLC,220,17.9,2143.0,170.0
173,Kolkata,2019,1000,Petrol,Manual,First,5.0,6.5,Hyundai,Grand,i10 1.2 Kappa Asta,18.9,1197.0,81.86
174,Mumbai,2012,62500,Diesel,Automatic,Second,5.0,19.0,Audi,A6,2011-2015 2.0 TDI Premium Plus,17.68,1968.0,174.33
175,Mumbai,2013,21000,Petrol,Automatic,Second,5.0,4.45,Volkswagen,Vento,Petrol Highline AT,14.4,1598.0,103.6
176,Jaipur,2017,8525,Diesel,Automatic,Second,5.0,23.0,Mini,Countryman,Cooper D,16.6,1998.0,112.0
177,Bangalore,2014,29000,Diesel,Manual,First,5.0,8.35,Hyundai,i20,Asta 1.4 CRDi,22.54,1396.0,88.73
178,Mumbai,2014,40000,Diesel,Automatic,First,5.0,22.95,Audi,A6,2011-2015 2.0 TDI Premium Plus,17.68,1968.0,174.33
179,Jaipur,2012,88000,Diesel,Manual,First,5.0,1.5,Chevrolet,Beat,Diesel LT,25.44,936.0,57.6
180,Kochi,2012,53537,Petrol,Automatic,First,5.0,6.89,Skoda,Superb,Elegance 1.8 TSI AT,13.7,1798.0,157.75
181,Chennai,2006,216000,Diesel,Manual,Second,5.0,1.45,Ford,Fiesta,1.4 TDCi EXI Limited Edition,17.8,1399.0,68.0
182,Hyderabad,2014,51000,Diesel,Automatic,First,5.0,33.5,BMW,5,Series 520d Luxury Line,22.48,1995.0,190.0
183,Jaipur,2007,118500,Petrol,Manual,First,5.0,1.25,Chevrolet,Optra,Magnum 1.6 LS BS3,12.9,1598.0,102.5
184,Hyderabad,2012,63000,Diesel,Manual,First,5.0,4.2,Volkswagen,Polo,Diesel Highline 1.2L,22.07,1199.0,73.9
185,Mumbai,2015,25000,Diesel,Manual,First,8.0,6.75,Renault,Lodgy,110PS RxZ 8 Seater,19.98,1461.0,108.5
186,Bangalore,2014,37382,Diesel,Automatic,First,5.0,32.0,Mercedes-Benz,E-Class,E250 CDI Avantgrade,13.0,2143.0,201.1
187,Kochi,2017,24773,Petrol,Manual,First,5.0,7.5,Maruti,Baleno,Alpha,21.4,1197.0,83.1
188,Delhi,2012,62000,Diesel,Manual,First,5.0,4.6,Hyundai,Verna,1.6 SX,22.32,1582.0,126.32
189,Kochi,2017,52340,Petrol,Manual,First,5.0,4.04,Hyundai,i10,Magna 1.1,19.81,1086.0,68.05
190,Kochi,2016,56739,Diesel,Manual,First,7.0,10.31,Mahindra,Scorpio,1.99 S10 4WD,15.4,1997.0,120.0
191,Coimbatore,2018,36091,Diesel,Automatic,First,5.0,55.76,Land,Rover,Range Rover 2.2L Dynamic,12.7,2179.0,187.7
192,Chennai,2010,120000,Diesel,Manual,First,5.0,2.6,Ford,Figo,Diesel ZXI,20.0,1399.0,68.0
193,Mumbai,2016,33000,Diesel,Manual,First,7.0,8.5,Maruti,Ertiga,ZDI,25.47,1248.0,88.5
194,Ahmedabad,2007,60006,Petrol,Manual,First,-1.0,2.95,Honda,City,1.5 GXI,0.0,-1.0,-1.0
195,Kolkata,2014,52000,Diesel,Manual,First,5.0,3.5,Honda,Amaze,S i-Dtech,25.8,1498.0,98.6
196,Jaipur,2015,43571,Petrol,Manual,First,5.0,3.55,Hyundai,i10,Magna,20.36,1197.0,78.9
197,Kolkata,2013,50000,Diesel,Manual,First,5.0,3.25,Honda,Amaze,S i-Dtech,25.8,1498.0,98.6
198,Hyderabad,2008,113000,Diesel,Manual,First,5.0,4.5,Skoda,Laura,Ambiente,17.5,1896.0,106.0
199,Delhi,2014,90000,Diesel,Manual,First,5.0,5.35,Renault,Duster,85PS Diesel RxL,19.87,1461.0,83.8
200,Chennai,2017,29000,Diesel,Manual,Second,7.0,6.5,Mahindra,NuvoSport,N6,17.45,1493.0,100.0
201,Mumbai,2016,20000,Diesel,Manual,First,5.0,9.0,Maruti,Vitara,Brezza ZDi Plus Dual Tone,24.3,1248.0,88.5
202,Kochi,2016,61012,Petrol,Manual,First,5.0,6.0,Hyundai,i20,Asta Option 1.2,18.6,1197.0,81.83
203,Jaipur,2009,87459,Petrol,Manual,First,5.0,2.75,Skoda,Fabia,1.4 MPI Ambiente,14.7,1390.0,85.0
204,Pune,2010,70500,Petrol,Manual,First,5.0,1.5,Tata,Indigo,eCS GLX,15.64,1193.0,64.1
205,Delhi,2015,64103,Diesel,Automatic,First,5.0,19.9,Audi,Q3,2012-2015 35 TDI Quattro Premium Plus,15.73,1968.0,174.33
206,Mumbai,2014,76000,Petrol,Automatic,First,5.0,10.0,Skoda,Octavia,Elegance 1.8 TSI AT,14.7,1798.0,177.5
207,Delhi,2014,104000,Diesel,Manual,First,5.0,3.0,Toyota,Etios,Liva GD SP,23.59,1364.0,67.06
208,Kolkata,2010,42001,Petrol,Manual,First,-1.0,2.11,Maruti,Swift,1.3 VXi,16.1,-1.0,-1.0
209,Kochi,2014,37245,Petrol,Automatic,First,5.0,11.96,Mercedes-Benz,B,Class B180,14.8,1595.0,120.7
